record_id,country,lat,localtime,localtime_epoch,lon,name,query,region,tz_id,date,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,daily_will_it_rain,daily_chance_of_rain,daily_will_it_snow,daily_chance_of_snow,condition_text,condition_icon,condition_code
161381be-da13-4001-8e5b-fb2f787cf760,Brazil,-12.98,2023-12-24 16:59,1703447973,-38.52,Salvador,"SALVADOR, BAHIA, BRAZIL",Bahia,America/Bahia,2023-12-21,26.6,23.9,25.4,20.9,15.72,9.9,84.0,1,100,0,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,1240
1d75fecd-6cd3-4753-92b6-fbb3ab1d96a1,Brazil,-12.98,2023-12-24 16:59,1703447976,-38.52,Salvador,"SALVADOR, BAHIA, BRAZIL",Bahia,America/Bahia,2023-12-18,27.1,25.0,26.1,31.7,1.06,10.0,76.0,1,100,0,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,1240
242a8273-6d49-4316-9713-920f7cc604ba,Brazil,-12.98,2023-12-24 16:59,1703447970,-38.52,Salvador,"SALVADOR, BAHIA, BRAZIL",Bahia,America/Bahia,2023-12-24,27.7,25.6,26.7,28.4,0.88,10.0,79.0,1,100,0,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,1240
37604f75-f273-489c-8e8a-62dfe104c2ee,Brazil,-12.98,2023-12-24 16:59,1703447988,-38.52,Salvador,"SALVADOR, BAHIA, BRAZIL",Bahia,America/Bahia,2023-12-19,28.0,24.3,26.5,38.5,47.59,9.0,81.0,1,100,0,0,Thundery outbreaks possible,//cdn.weatherapi.com/weather/64x64/day/200.png,1087
70f90b5b-8a00-4eba-a1fb-f61d00aac553,Brazil,-12.98,2023-12-24 16:59,1703447971,-38.52,Salvador,"SALVADOR, BAHIA, BRAZIL",Bahia,America/Bahia,2023-12-23,27.4,26.2,26.8,22.3,0.45,10.0,77.0,1,100,0,0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,1063
7f947c7f-6d4f-4c38-aaba-7fa389c59912,Brazil,-12.98,2023-12-24 16:59,1703447974,-38.52,Salvador,"SALVADOR, BAHIA, BRAZIL",Bahia,America/Bahia,2023-12-20,26.3,23.7,25.3,32.0,56.28,9.2,83.0,1,100,0,0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,1243
b2f5af26-f773-4395-9afa-3c5bd9f8e987,Brazil,-12.98,2023-12-24 16:53,1703447591,-38.52,Salvador,"SALVADOR, BAHIA, BRAZIL",Bahia,America/Bahia,2023-12-22,27.9,24.5,26.5,19.8,5.64,9.8,80.0,1,100,0,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,1240
